Gene name,Gene ID,Expression level
T27F6.6,WBGene00012105,44.3
ykt-6,WBGene00015164,44.27
mdt-31,WBGene00007026,44.243
Y57G11C.22,WBGene00013317,44.203
T20F5.6,WBGene00020628,44.184
dagl-2,WBGene00018364,44.173
M04G7.3,WBGene00019774,44.153
psmd-9,WBGene00016623,44.147
ztf-3,WBGene00016905,44.079
F38A5.2,WBGene00018161,44.052
gei-17,WBGene00001574,44.026
gbf-1,WBGene00007703,43.996
ipla-3,WBGene00012319,43.995
M18.6,WBGene00010891,43.968
Y105E8A.11,WBGene00013671,43.967
ina-1,WBGene00002081,43.964
Y54E5A.5,WBGene00013200,43.95
ZC373.5,WBGene00013870,43.923
avr-15,WBGene00000233,43.921
hpo-29,WBGene00021754,43.9
M01F1.3,WBGene00010809,43.794
coq-3,WBGene00000763,43.775
ZK380.6,WBGene00304812,43.732
chdp-1,WBGene00015687,43.717
Y97E10C.1,WBGene00022410,43.707
F20G2.3,WBGene00008987,43.697
T24B8.3,WBGene00011977,43.666
daf-31,WBGene00000923,43.653
R04A9.9,WBGene00195183,43.639
prdh-1,WBGene00007197,43.607
mrp-1,WBGene00003407,43.583
Y71H2B.2,WBGene00022192,43.449
mat-1,WBGene00003132,43.443
D1007.5,WBGene00017003,43.439
F54D5.7,WBGene00010052,43.431
camt-1,WBGene00020251,43.366
puf-12,WBGene00014165,43.339
R10E4.9,WBGene00011205,43.327
pepm-1,WBGene00009807,43.316
mob-2,WBGene00008601,43.29
F54F2.9,WBGene00018836,43.28
Y105E8A.2,WBGene00013667,43.246
1-Apr,WBGene00000156,43.154
srd-32,WBGene00005110,43.121
K01D12.6,WBGene00010465,43.087
ppm-1.A,WBGene00006460,43.071
Y54E10A.11,WBGene00021831,43.041
ubc-6,WBGene00006703,42.997
crml-1,WBGene00010641,42.993
C45B2.6,WBGene00016661,42.939
F27C1.6,WBGene00017855,42.927
arch-1,WBGene00016621,42.926
EEED8.10,WBGene00017138,42.915
F25B4.5,WBGene00017768,42.913
C25H3.7,WBGene00016116,42.884
zipt-11,WBGene00019077,42.844
ccf-1,WBGene00000369,42.813
algn-1,WBGene00020820,42.812
gsr-1,WBGene00008117,42.81
F43G9.13,WBGene00009673,42.803
C06A6.2,WBGene00015507,42.799
patr-1,WBGene00009661,42.742
tag-124,WBGene00006473,42.714
hsp-6,WBGene00002010,42.695
rbpl-1,WBGene00009477,42.69
C16C10.2,WBGene00007623,42.667
iffb-1,WBGene00021857,42.615
Y71H2AM.6,WBGene00022171,42.592
rpb-6,WBGene00007355,42.579
dnc-6,WBGene00021827,42.561
npp-9,WBGene00003795,42.515
rga-6,WBGene00015303,42.497
rbr-2,WBGene00004319,42.482
tac-1,WBGene00006381,42.469
K07A1.15,WBGene00010619,42.463
pelo-1,WBGene00011280,42.393
mpk-1,WBGene00003401,42.39
F42A10.5,WBGene00018341,42.385
R144.12,WBGene00043060,42.323
allo-1,WBGene00011292,42.304
F10G7.5,WBGene00017369,42.286
xnp-1,WBGene00006961,42.285
psd-1,WBGene00015159,42.274
let-363,WBGene00002583,42.224
alh-4,WBGene00000110,42.222
F21D5.5,WBGene00009010,42.2
cnt-2,WBGene00000566,42.188
elpc-4,WBGene00016128,42.182
vpr-1,WBGene00018008,42.178
mrpl-50,WBGene00011883,42.142
cec-5,WBGene00017993,42.126
K11H12.8,WBGene00019664,42.124
ZK632.12,WBGene00014019,42.122
rpb-8,WBGene00017830,42.116
C47B2.2,WBGene00008131,42.098
skat-1,WBGene00010307,42.066
rpc-2,WBGene00017300,42.024
W02D9.2,WBGene00012208,42.008
col-3,WBGene00000594,41.947
cul-2,WBGene00000837,41.936
T20D3.6,WBGene00011859,41.898
abhd-11.2,WBGene00011029,41.804
F53F4.14,WBGene00009996,41.802
arl-8,WBGene00000192,41.786
trpp-8,WBGene00018512,41.784
ZK856.16,WBGene00050936,41.783
rsp-7,WBGene00004704,41.767
F15B9.10,WBGene00045418,41.767
Y69A2AR.3,WBGene00022075,41.729
T25B9.12,WBGene00044991,41.712
crn-2,WBGene00000795,41.697
sptl-1,WBGene00016020,41.649
Y41D4B.11,WBGene00021514,41.648
rpoa-12,WBGene00007616,41.631
tmed-13,WBGene00022255,41.616
tsp-9,WBGene00006635,41.615
C26E6.12,WBGene00016145,41.613
egl-27,WBGene00001194,41.601
cdk-8,WBGene00000409,41.581
pigm-1,WBGene00007189,41.51
Y41D4A.5,WBGene00021507,41.499
K04F10.7,WBGene00019399,41.463
fut-3,WBGene00006402,41.446
skr-20,WBGene00004826,41.441
hil-3,WBGene00001854,41.383
anoh-2,WBGene00013326,41.37
Y54E10BR.4,WBGene00021843,41.311
B0261.8,WBGene00015096,41.294
mab-31,WBGene00021834,41.287
C24G6.8,WBGene00016062,41.239
atg-7,WBGene00010882,41.182
nuo-2,WBGene00020417,41.17
emb-1,WBGene00019630,41.152
W03F9.1,WBGene00020999,41.142
pph-5,WBGene00012665,41.138
gst-16,WBGene00001764,41.122
dyn-1,WBGene00001130,41.108
pdhb-1,WBGene00015413,41.075
tag-68,WBGene00006445,41.066
pgap-2,WBGene00007045,41.039
Y57G11C.46,WBGene00013335,41.017
ctn-1,WBGene00000832,41.006
paxt-1,WBGene00011034,40.969
ech-1.2,WBGene00020347,40.92
DC2.5,WBGene00017082,40.917
R01B10.6,WBGene00019808,40.912
C46F11.6,WBGene00008121,40.87
Y34B4A.2,WBGene00021319,40.869
R07E4.3,WBGene00019937,40.86
top-2,WBGene00010785,40.857
ppk-1,WBGene00004087,40.856
T03F1.11,WBGene00020192,40.84
ubl-5,WBGene00006726,40.831
F11D5.1,WBGene00017380,40.817
C01B10.9,WBGene00015283,40.787
egl-18,WBGene00001186,40.784
T24H7.3,WBGene00020782,40.778
C33A12.1,WBGene00007880,40.768
fmo-5,WBGene00001480,40.752
B0361.9,WBGene00015163,40.744
C53B4.3,WBGene00008273,40.743
nlp-35,WBGene00007881,40.739
tom-1,WBGene00006594,40.697
alkb-1,WBGene00021783,40.66
akir-1,WBGene00017088,40.652
ZK1248.19,WBGene00022885,40.636
rbm-34,WBGene00008688,40.561
prp-19,WBGene00020423,40.556
ned-8,WBGene00003587,40.515
ZC506.1,WBGene00013919,40.504
C43E11.9,WBGene00016607,40.494
kcc-2,WBGene00019205,40.466
ptp-1,WBGene00004213,40.447
F33H2.2,WBGene00009366,40.437
B0361.3,WBGene00015157,40.424
comt-3,WBGene00021487,40.408
tag-30,WBGene00006415,40.264
apy-1,WBGene00017244,40.233
lsm-4,WBGene00003078,40.233
dmd-7,WBGene00019521,40.202
Y60A3A.19,WBGene00013365,40.195
nfs-1,WBGene00015021,40.187
scm-1,WBGene00004743,40.184
asb-1,WBGene00000206,40.161
hrg-1,WBGene00019830,40.158
T26C5.3,WBGene00012033,40.142
mrps-27,WBGene00010766,40.137
ufd-1,WBGene00006733,40.086
nol-2,WBGene00021073,40.082
pro-3,WBGene00012676,40.081
sqv-2,WBGene00005020,40.061
Y61A9LA.3,WBGene00022015,40.038
K04F10.1,WBGene00019394,40.038
Y39B6A.33,WBGene00012692,40.025
T22D1.3,WBGene00020682,40.019
zgpa-1,WBGene00016383,39.94
herc-1,WBGene00021685,39.923
pqn-39,WBGene00004126,39.914
Y37A1B.17,WBGene00044989,39.9
Y106G6H.14,WBGene00013724,39.86
prp-6,WBGene00013343,39.829
hmp-2,WBGene00001979,39.826
C17E4.20,WBGene00219313,39.814
W03A5.6,WBGene00020970,39.798
lin-53,WBGene00003036,39.743
Y23H5B.6,WBGene00021277,39.699
nhr-100,WBGene00003690,39.689
nos-3,WBGene00003785,39.654
gck-2,WBGene00022603,39.652
F40F4.7,WBGene00018238,39.623
cytb-5.1,WBGene00007848,39.617
exos-9,WBGene00018154,39.61
ctf-18,WBGene00010676,39.609
nhr-48,WBGene00003638,39.594
hipr-1,WBGene00022717,39.59
sand-1,WBGene00018321,39.583
Y46G5A.18,WBGene00012908,39.558
dnc-2,WBGene00001018,39.543
F25H2.4,WBGene00009118,39.54
npp-10,WBGene00003796,39.524
C36A4.10,WBGene00007970,39.518
ppm-2,WBGene00011953,39.502
edc-4,WBGene00021551,39.486
K08F9.4,WBGene00010687,39.48
T05E11.2,WBGene00011479,39.465
hprt-1,WBGene00013690,39.442
mrpl-48,WBGene00016989,39.423
wah-1,WBGene00006937,39.391
T28F2.2,WBGene00020901,39.39
R04A9.6,WBGene00019865,39.323
C23G10.8,WBGene00016015,39.322
ric-8,WBGene00004367,39.305
npr-4,WBGene00007635,39.303
spr-5,WBGene00005010,39.295
ztf-27,WBGene00011661,39.273
hda-1,WBGene00001834,39.24
dpf-4,WBGene00001057,39.239
pho-5,WBGene00015161,39.222
atx-2,WBGene00000231,39.216
acin-1,WBGene00016601,39.18
T26A5.8,WBGene00020823,39.176
grld-1,WBGene00017929,39.162
hst-2,WBGene00002029,39.135
stc-1,WBGene00006059,39.112
F34H10.4,WBGene00009381,39.08
blos-8,WBGene00010981,39.033
gta-1,WBGene00001794,38.972
T22F7.5,WBGene00020704,38.967
F26F4.12,WBGene00017831,38.965
cka-2,WBGene00000510,38.936
mel-11,WBGene00003196,38.923
daf-16,WBGene00000912,38.863
F59E12.9,WBGene00019124,38.849
cps-6,WBGene00000787,38.84
C48B4.3,WBGene00008168,38.825
sdz-33,WBGene00013233,38.819
C06G3.5,WBGene00015551,38.712
sesn-1,WBGene00022279,38.705
nspb-8,WBGene00007250,38.662
gop-2,WBGene00001661,38.654
chch-3,WBGene00010942,38.638
sphk-1,WBGene00007918,38.634
pmk-3,WBGene00004057,38.629
Y54E10A.10,WBGene00021830,38.628
map-1,WBGene00003129,38.609
clik-1,WBGene00020808,38.605
mrps-26,WBGene00016412,38.59
Y43F8C.11,WBGene00012833,38.502
fbxa-6,WBGene00008352,38.428
ufbp-1,WBGene00022865,38.392
mrps-14,WBGene00011334,38.383
F53C11.4,WBGene00009974,38.378
ent-6,WBGene00009499,38.366
W10D9.1,WBGene00021129,38.286
pigq-1,WBGene00008504,38.213
ZK973.9,WBGene00022835,38.181
emb-5,WBGene00001259,38.153
sel-8,WBGene00004765,38.149
plx-2,WBGene00004048,38.113
dpy-23,WBGene00001082,38.061
syx-16,WBGene00022534,38.045
C52B9.4,WBGene00016867,37.987
K01A12.3,WBGene00019287,37.972
spl-1,WBGene00004981,37.96
lact-3,WBGene00010897,37.948
F02A9.10,WBGene00303021,37.887
M01E5.3,WBGene00010806,37.871
fbxa-13,WBGene00021264,37.859
ubxn-4,WBGene00022703,37.846
cdk-7,WBGene00000408,37.844
apm-1,WBGene00000150,37.829
F57B10.8,WBGene00019005,37.817
mif-3,WBGene00003236,37.814
mppe-1,WBGene00015238,37.792
gip-1,WBGene00001589,37.77
ZK1127.6,WBGene00022853,37.743
mrps-12,WBGene00011391,37.741
Y42H9AR.1,WBGene00021536,37.735
clr-1,WBGene00000548,37.716
hgap-1,WBGene00021209,37.633
timm-23,WBGene00008857,37.61
sma-9,WBGene00004862,37.608
emb-4,WBGene00001258,37.459
C10G8.8,WBGene00015684,37.453
trpp-5,WBGene00013259,37.416
hrpu-1,WBGene00012769,37.403
Y17G7B.3,WBGene00012459,37.362
mdt-18,WBGene00007018,37.349
sec-10,WBGene00016376,37.339
D2005.3,WBGene00008398,37.306
Y54H5A.2,WBGene00021900,37.287
B0334.5,WBGene00007145,37.197
D2023.4,WBGene00008408,37.189
nhr-104,WBGene00003694,37.185
ZC84.7,WBGene00013850,37.167
ddo-2,WBGene00017565,37.165
ZK632.4,WBGene00014013,37.16
gtf-2H1,WBGene00019821,37.158
Y9D1A.2,WBGene00021187,37.156
ubxn-2,WBGene00022381,37.148
aph-2,WBGene00000148,37.109
mdt-15,WBGene00007016,37.106
cls-3,WBGene00013847,37.098
tmed-1,WBGene00010670,37.08
E01A2.2,WBGene00017085,37.071
smg-7,WBGene00004885,37.056
inx-7,WBGene00002129,37.036
trpp-11,WBGene00015173,37.02
gos-28,WBGene00017273,37.007
aars-1,WBGene00000196,36.973
linc-15,WBGene00219571,36.927
Y75B8A.24,WBGene00013557,36.924
acl-8,WBGene00020264,36.914
F25D1.5,WBGene00009110,36.865
xpb-1,WBGene00013441,36.847
C33D9.13,WBGene00194651,36.824
T23G11.4,WBGene00011969,36.78
serp-1.2,WBGene00020374,36.756
F13E9.11,WBGene00008760,36.749
rabs-5,WBGene00021538,36.739
ndg-4,WBGene00003577,36.703
lgc-39,WBGene00017314,36.688
pnk-1,WBGene00004068,36.682
ZK632.14,WBGene00014020,36.68
plpp-1.1,WBGene00018756,36.665
bath-42,WBGene00016803,36.659
Y45G12B.2,WBGene00021563,36.65
Y73F8A.13,WBGene00013522,36.64
ceh-38,WBGene00000459,36.627
crh-2,WBGene00016162,36.613
linc-37,WBGene00219709,36.564
npl-4.1,WBGene00019120,36.55
F32A5.9,WBGene00023021,36.542
D2023.6,WBGene00008410,36.524
C34C12.2,WBGene00007921,36.521
F37B4.10,WBGene00018140,36.518
K12C11.1,WBGene00019673,36.513
atf-7,WBGene00000223,36.505
F20D6.11,WBGene00017640,36.468
rpb-12,WBGene00009078,36.46
piga-1,WBGene00008431,36.398
gsp-2,WBGene00001748,36.367
R07E5.7,WBGene00011115,36.363
Y37E11B.6,WBGene00021378,36.339
rap-1,WBGene00004307,36.33
T07E3.4,WBGene00020315,36.322
taf-4,WBGene00006385,36.321
srw-140,WBGene00005887,36.264
Y43H11AL.1,WBGene00021545,36.228
M04F3.7,WBGene00284852,36.224
coa-1,WBGene00195063,36.213
lrp-2,WBGene00003072,36.197
nsf-1,WBGene00003818,36.179
mpdu-1,WBGene00018181,36.162
M04F3.3,WBGene00019769,36.159
K12H4.3,WBGene00019678,36.139
ragc-1,WBGene00012497,36.131
scd-1,WBGene00004739,36.116
rsd-6,WBGene00004684,36.1
cebp-1,WBGene00016997,36.097
C33A11.2,WBGene00007878,36.081
wsp-1,WBGene00006957,36.08
immt-1,WBGene00020511,36.062
Y59C2A.3,WBGene00021986,36.061
vps-54,WBGene00006934,35.985
tag-280,WBGene00044322,35.906
hpl-1,WBGene00001995,35.906
Y54E2A.4,WBGene00013189,35.898
dao-5,WBGene00000931,35.873
ucr-2.2,WBGene00011679,35.836
cand-1,WBGene00013606,35.835
Y94H6A.12,WBGene00050885,35.807
jmjd-3.1,WBGene00017571,35.806
srab-14,WBGene00019999,35.802
Y45G5AM.7,WBGene00021559,35.793
Y47G6A.9,WBGene00021638,35.789
kat-1,WBGene00002183,35.786
rfip-2,WBGene00021456,35.761
mdt-20,WBGene00007020,35.753
F54C9.11,WBGene00010045,35.746
pisy-1,WBGene00012897,35.693
mnat-1,WBGene00018769,35.686
Y116A8C.27,WBGene00013804,35.656
F28B3.10,WBGene00017889,35.652
ensa-1,WBGene00010730,35.599
rskd-1,WBGene00010096,35.592
dnj-21,WBGene00001039,35.589
tag-353,WBGene00009112,35.587
bre-1,WBGene00000266,35.58
F27C1.2,WBGene00017852,35.574
swsn-1,WBGene00004203,35.526
C50D2.5,WBGene00016808,35.526
ufd-3,WBGene00007333,35.508
otub-3,WBGene00009007,35.476
trk-1,WBGene00017039,35.429
F54D8.6,WBGene00018802,35.394
cox-19,WBGene00009745,35.377
C31H5.4,WBGene00007855,35.348
rskn-1,WBGene00011352,35.32
T13C2.6,WBGene00020481,35.302
C11E4.6,WBGene00007520,35.269
R10E12.2,WBGene00011221,35.263
tbc-17,WBGene00012894,35.259
F37F2.2,WBGene00018159,35.223
efr-3,WBGene00016311,35.209
Y48A6B.3,WBGene00012964,35.194
E02H1.6,WBGene00008458,35.173
epg-9,WBGene00022078,35.135
mdt-11,WBGene00007015,35.097
F38C2.4,WBGene00009536,35.08
mrpl-32,WBGene00016249,35.071
ddx-27,WBGene00022148,35.069
T02H6.1,WBGene00020171,35.05
C46C2.2,WBGene00008110,35.028
T09A5.5,WBGene00011634,35.027
gex-2,WBGene00001579,35.004
vps-37,WBGene00016990,35.004
linc-22,WBGene00219699,34.996
aco-1,WBGene00000040,34.994
F45F2.10,WBGene00018482,34.983
M176.11,WBGene00010947,34.983
snpc-4,WBGene00001568,34.983
dnj-1,WBGene00001019,34.935
ptr-5,WBGene00004220,34.928
Y62E10A.6,WBGene00013376,34.918
cnep-1,WBGene00018474,34.857
mdt-28,WBGene00009223,34.813
ubc-18,WBGene00006713,34.776
ddp-1,WBGene00000941,34.772
toe-4,WBGene00012194,34.735
lpd-9,WBGene00003065,34.704
algn-3,WBGene00010720,34.698
mrps-30,WBGene00044321,34.68
Y17G7B.17,WBGene00012468,34.638
rib-1,WBGene00004360,34.627
sipa-1,WBGene00012100,34.56
R02E12.5,WBGene00019829,34.495
pigc-1,WBGene00011860,34.471
F15D4.2,WBGene00008859,34.44
coa-4,WBGene00011857,34.426
K01G5.5,WBGene00010478,34.411
ttc-1,WBGene00016390,34.389
T27E4.1,WBGene00020861,34.378
hgrs-1,WBGene00004101,34.363
kqt-1,WBGene00002233,34.352
sftb-1,WBGene00011605,34.35
eak-7,WBGene00010671,34.294
mdmh-35,WBGene00011635,34.249
abu-7,WBGene00000030,34.239
nfki-1,WBGene00007877,34.233
R09F10.5,WBGene00019988,34.229
C35B1.5,WBGene00016435,34.192
C06E1.9,WBGene00015524,34.167
gale-1,WBGene00008132,34.161
spat-3,WBGene00020496,34.155
W04C9.2,WBGene00021024,34.154
rbm-5,WBGene00020346,34.142
hrpf-1,WBGene00020936,34.128
cri-3,WBGene00010303,34.114
nsy-1,WBGene00003822,34.104
dcar-1,WBGene00007395,34.093
daf-15,WBGene00000911,34.085
szy-20,WBGene00004105,34.08
unc-57,WBGene00006791,34.069
crn-3,WBGene00000796,34.069
C34F6.5,WBGene00007939,34.066
xpo-1,WBGene00002078,34.053
ascc-1,WBGene00016019,34.03
tiar-1,WBGene00015943,33.998
mans-1,WBGene00008411,33.957
ari-1.1,WBGene00016158,33.94
ima-3,WBGene00002074,33.93
ints-4,WBGene00012234,33.917
lonp-1,WBGene00016391,33.876
nmtn-1,WBGene00019434,33.859
oga-1,WBGene00020596,33.845
R11D1.10,WBGene00011248,33.817
F47E1.3,WBGene00018567,33.81
nkb-1,WBGene00007646,33.789
cdc-5L,WBGene00008386,33.726
ZC53.22,WBGene00304790,33.657
aakb-1,WBGene00010115,33.655
ZK1127.3,WBGene00022850,33.646
ubxn-6,WBGene00019163,33.625
cam-1,WBGene00000289,33.617
dbn-1,WBGene00010664,33.586
gas-1,WBGene00001520,33.576
crn-5,WBGene00000798,33.574
toc-1,WBGene00006590,33.568
pro-1,WBGene00004185,33.546
par-3,WBGene00003918,33.514
rpoa-49,WBGene00017749,33.493
rde-11,WBGene00023421,33.489
ccm-3,WBGene00007561,33.455
sec-6,WBGene00017284,33.447
Y48C3A.14,WBGene00012995,33.435
sur-5,WBGene00006351,33.422
yif-1,WBGene00010178,33.416
B0511.12,WBGene00015237,33.333
W09D10.1,WBGene00012359,33.308
F21C10.7,WBGene00017657,33.292
C36B7.6,WBGene00016469,33.291
pnn-1,WBGene00011308,33.28
F46B6.6,WBGene00009771,33.274
B0395.t1,WBGene00008104,33.272
C10A4.3,WBGene00015664,33.256
C18F10.7,WBGene00015978,33.254
gap-2,WBGene00001516,33.242
C01F1.4,WBGene00015299,33.215
lsm-6,WBGene00003080,33.204
C35D10.6,WBGene00016443,33.164
ubr-5,WBGene00009460,33.148
copb-2,WBGene00009542,33.135
zfp-3,WBGene00021047,33.127
mrps-22,WBGene00007564,33.125
C02B10.4,WBGene00015329,33.124
aps-1,WBGene00000159,33.121
F46C5.9,WBGene00009784,33.111
chpf-1,WBGene00014109,33.1
F53H1.1,WBGene00018776,33.065
wdr-20,WBGene00007428,33.038
rpc-1,WBGene00004411,33.032
die-1,WBGene00000995,33.014
ZC262.2,WBGene00022579,33.01
cpsf-3,WBGene00013460,32.976
ape-1,WBGene00000146,32.941
npl-4.2,WBGene00019121,32.931
aagr-2,WBGene00019895,32.916
F01F1.15,WBGene00017169,32.911
F07F6.8,WBGene00017220,32.911
C53D6.6,WBGene00008283,32.9
odr-4,WBGene00003851,32.855
sup-46,WBGene00045383,32.845
nhr-182,WBGene00018265,32.779
Y39A1A.9,WBGene00012648,32.775
exos-8,WBGene00018305,32.768
dpff-1,WBGene00016200,32.76
srw-23,WBGene00005770,32.742
teg-4,WBGene00019323,32.728
mys-4,WBGene00007914,32.698
sedl-1,WBGene00021046,32.681
tyms-1,WBGene00022455,32.642
pals-25,WBGene00020540,32.637
C03H5.3,WBGene00015405,32.61
fbxa-167,WBGene00007837,32.589
Y47G6A.22,WBGene00021647,32.558
gfi-2,WBGene00001582,32.538
swt-4,WBGene00012647,32.527
npp-21,WBGene00019940,32.525
rnp-6,WBGene00004389,32.524
W07G4.3,W07G4.3,32.516
nape-2,WBGene00021370,32.504
C26B2.7,WBGene00016129,32.486
fbxl-1,WBGene00015350,32.482
dhs-29,WBGene00000992,32.481
mtm-9,WBGene00003479,32.478
C44B7.7,WBGene00016629,32.468
rnf-121,WBGene00007626,32.406
snpc-1.1,WBGene00015513,32.388
sem-4,WBGene00004773,32.348
ZK1128.7,WBGene00014233,32.338
cnt-1,WBGene00000565,32.33
Y54G2A.11,WBGene00021876,32.275
T23C6.4,WBGene00020726,32.258
btb-4,WBGene00019142,32.247
W09G3.8,WBGene00012371,32.246
rab-18,WBGene00004277,32.236
osta-2,WBGene00015942,32.225
anr-52,WBGene00219642,32.221
C01G10.9,WBGene00007236,32.203
ZK512.4,WBGene00013984,32.169
R04E5.8,WBGene00019871,32.143
ubc-3,WBGene00006702,32.125
F55F8.3,WBGene00018891,32.107
R04F11.3,WBGene00011016,32.055
M01F1.4,WBGene00010810,32.055
madf-11,WBGene00015468,32.054
mps-4,WBGene00017323,32.03
pad-1,WBGene00003905,32.022
F28B3.6,WBGene00017887,32.011
dap-3,WBGene00000933,31.956
sfxn-5,WBGene00044049,31.923
cdkr-3,WBGene00013765,31.915
pgam-5,WBGene00019941,31.911
pat-3,WBGene00003930,31.882
ceh-88,WBGene00008195,31.881
snt-3,WBGene00004923,31.821
dhhc-6,WBGene00010892,31.804
dcr-1,WBGene00000939,31.8
ego-2,WBGene00001215,31.793
Y95D11A.1,WBGene00013605,31.793
C46H11.10,WBGene00016734,31.788
Y54H5A.1,WBGene00021899,31.77
sel-13,WBGene00011411,31.756
mrpl-1,WBGene00017997,31.755
pmt-2,WBGene00018811,31.752
F36D4.5,WBGene00018090,31.75
vps-26,WBGene00006931,31.743
F25E5.16,WBGene00017792,31.697
dpy-27,WBGene00001086,31.692
scrm-3,WBGene00015437,31.672
R12E2.11,WBGene00020036,31.633
hyls-1,WBGene00015466,31.624
F59B10.3,WBGene00010319,31.618
grk-1,WBGene00001708,31.609
Y38C1AA.12,WBGene00021402,31.593
C26D10.3,WBGene00007744,31.585
Y54G11A.11,WBGene00013219,31.583
ari-1.2,WBGene00016157,31.581
ZK742.3,WBGene00022813,31.567
ZK1127.4,WBGene00022851,31.566
mthf-1,WBGene00015512,31.565
mccc-1,WBGene00009319,31.546
cas-1,WBGene00000294,31.537
sur-6,WBGene00006352,31.533
glrx-5,WBGene00013029,31.528
D2045.2,WBGene00008422,31.525
dhod-1,WBGene00020932,31.518
F13B9.1,WBGene00017419,31.476
lec-12,WBGene00017080,31.468
imph-1,WBGene00010908,31.462
C16B8.4,WBGene00015824,31.447
zyg-12,WBGene00006997,31.447
mrg-1,WBGene00003406,31.417
Y71H2AM.11,WBGene00022176,31.415
Y82E9BR.16,WBGene00022348,31.407
pkc-3,WBGene00004034,31.402
M70.4,WBGene00019786,31.395
atg-3,WBGene00021922,31.379
snpc-3.4,WBGene00011367,31.372
panl-3,WBGene00014015,31.364
adr-2,WBGene00000080,31.345
bmk-1,WBGene00000257,31.322
Y57A10A.13,WBGene00013256,31.305
let-754,WBGene00002879,31.305
mans-3,WBGene00020197,31.303
cpt-2,WBGene00011122,31.28
bckd-1B,WBGene00006518,31.279
eipr-1,WBGene00013599,31.267
rnst-2,WBGene00019624,31.262
F02E9.1,WBGene00008528,31.248
tra-4,WBGene00018740,31.219
C15C8.7,WBGene00007609,31.195
tufm-1,WBGene00007000,31.183
scpl-3,WBGene00021629,31.149
F40H3.2,WBGene00018250,31.122
dnpp-1,WBGene00017163,31.086
eif-3.G,WBGene00001230,31.07
tut-2,WBGene00009256,31.025
tlk-1,WBGene00006579,31.017
phip-1,WBGene00009455,31.008
zfp-2,WBGene00009448,30.996
thoc-2,WBGene00015813,30.995
Y47D3A.20,WBGene00012931,30.988
aha-1,WBGene00000095,30.972
zyg-9,WBGene00006994,30.931
ppfr-2,WBGene00017064,30.874
VF13D12L.3,WBGene00012149,30.864
lmtr-5,WBGene00020101,30.827
T13H5.8,WBGene00011761,30.822
otub-1,WBGene00007718,30.789
fat-2,WBGene00001394,30.782
R07E5.1,WBGene00011109,30.746
M28.5,WBGene00010896,30.721
dohh-1,WBGene00007555,30.711
F13H10.3,WBGene00008774,30.7
R151.8,WBGene00020111,30.686
F36A2.2,WBGene00009452,30.665
nstp-2,WBGene00017480,30.651
hmgr-1,WBGene00017268,30.648
ruvb-2,WBGene00020687,30.633
arc-1,WBGene00000180,30.622
C25H3.11,WBGene00016120,30.61
rfc-1,WBGene00004337,30.585
dpy-4,WBGene00001066,30.562
agef-1,WBGene00012386,30.559
ZK686.1,WBGene00022791,30.546
W08E3.2,WBGene00012343,30.514
H10D18.5,WBGene00019180,30.511
Y53G8AR.5,WBGene00021812,30.477
tag-261,tag-261,30.417
Y54F10AM.5,WBGene00021849,30.416
snx-14,WBGene00013011,30.374
dhs-6,WBGene00000970,30.365
Y38C1AA.1,WBGene00021394,30.362
T01G9.2,WBGene00011344,30.361
R05D3.9,WBGene00019882,30.361
ced-10,WBGene00000424,30.338
F13B12.1,WBGene00008729,30.32
ekl-6,WBGene00011806,30.306
C45G3.3,WBGene00001590,30.305
Y66D12A.21,WBGene00013446,30.304
M02E1.1,WBGene00019733,30.286
W02D3.12,WBGene00020937,30.246
tap-1,WBGene00006524,30.215
etc-1,WBGene00008429,30.214
bath-43,WBGene00011815,30.211
tag-304,WBGene00018757,30.181
C16C10.8,WBGene00007628,30.178
Y51F10.4,WBGene00021765,30.172
che-10,WBGene00018051,30.168
C36A4.11,WBGene00044167,30.126
atg-18,WBGene00018294,30.121
tsfm-1,WBGene00010094,30.094
C07D8.6,WBGene00015565,30.055
emr-1,WBGene00001309,30.044
plr-1,WBGene00023404,30.029
Y71F9AL.1,WBGene00022107,30.027
oac-8,WBGene00008077,30.021
nrd-1,WBGene00017004,30.018
rtfo-1,WBGene00009103,29.995
F46F11.1,WBGene00018508,29.985
jamp-1,WBGene00019807,29.982
aex-3,WBGene00000086,29.977
C09G4.4,WBGene00044001,29.968
F10E7.6,WBGene00017348,29.966
pals-22,WBGene00016216,29.93
acdh-3,WBGene00019433,29.896
spr-2,WBGene00005007,29.896
F41H10.4,WBGene00018317,29.895
F48C1.6,WBGene00018599,29.894
acs-13,WBGene00022037,29.878
lpl-1,WBGene00003066,29.857
Y48E1C.2,WBGene00013015,29.85
pph-4.1,WBGene00004085,29.846
C25H3.14,WBGene00016123,29.84
nfyb-1,WBGene00021132,29.83
T24G10.2,WBGene00020779,29.823
mdt-4,WBGene00007012,29.787
C56A3.4,WBGene00008343,29.784
T10B5.4,WBGene00020390,29.777
erp-44.1,WBGene00016278,29.777
W10D9.6,WBGene00185079,29.73
Y97E10AR.6,WBGene00022401,29.721
C49H3.4,WBGene00016791,29.72
pqe-1,WBGene00004095,29.71
K07F5.14,WBGene00010638,29.706
noca-1,WBGene00011647,29.682
mnk-1,WBGene00011304,29.66
B0205.13,WBGene00044644,29.656
F10E9.5,WBGene00017357,29.652
utp-20,WBGene00007050,29.612
trhr-1,WBGene00016265,29.595
sig-7,WBGene00000890,29.584
